stream,user_name,label,ts
ai/h2o/cloud/appstore/instance/event/started,test,"{'appInstanceEvent': {'started': {'app': {'id': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'name': 'h2o-escorer', 'title': 'H2O eScorer', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.6.1', 'createdAt': '2023-08-27T06:53:39.266797Z', 'ownerName': 'test', 'updatedAt': '2023-08-27T06:53:39.266797Z', 'visibility': 'ALL_USERS', 'description': 'Seamlessly deploy your machine learning models into production and score them in realtime or as a batch.'}, 'instance': {'id': '693058a7-c35d-4432-bedc-3252fbbd3f44', 'appId': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'status': 'DEPLOYED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/693058a7-c35d-4432-bedc-3252fbbd3f44/', 'createdAt': '2023-08-27T06:53:48.132134153Z', 'ownerName': 'test', 'updatedAt': '2023-08-27T06:53:48.132134153Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-08-27 06:54:32.645548+00:00
ai/h2o/cloud/appstore/instance/event/resumed,test,"{'appInstanceEvent': {'resumed': {'app': {'id': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'name': 'h2o-escorer', 'title': 'H2O eScorer', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.6.1', 'createdAt': '2023-08-27T06:53:39.266797Z', 'ownerName': 'test', 'updatedAt': '2023-08-27T06:53:39.266797Z', 'visibility': 'ALL_USERS', 'description': 'Seamlessly deploy your machine learning models into production and score them in realtime or as a batch.'}, 'instance': {'id': '693058a7-c35d-4432-bedc-3252fbbd3f44', 'appId': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'status': 'SUSPENDED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/693058a7-c35d-4432-bedc-3252fbbd3f44/', 'createdAt': '2023-08-27T06:53:48.132134153Z', 'ownerName': 'test', 'updatedAt': '2023-08-28T04:21:30.434931079Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-08-28 05:43:53.221113+00:00
ai/h2o/cloud/appstore/instance/event/resumed,test,"{'appInstanceEvent': {'resumed': {'app': {'id': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'name': 'h2o-escorer', 'title': 'H2O eScorer', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.6.1', 'createdAt': '2023-08-27T06:53:39.266797Z', 'ownerName': 'test', 'updatedAt': '2023-08-27T06:53:39.266797Z', 'visibility': 'ALL_USERS', 'description': 'Seamlessly deploy your machine learning models into production and score them in realtime or as a batch.'}, 'instance': {'id': '693058a7-c35d-4432-bedc-3252fbbd3f44', 'appId': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'status': 'SUSPENDED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/693058a7-c35d-4432-bedc-3252fbbd3f44/', 'createdAt': '2023-08-27T06:53:48.132134153Z', 'ownerName': 'test', 'updatedAt': '2023-08-28T13:46:30.782715225Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-08-31 05:20:02.374108+00:00
ai/h2o/cloud/appstore/instance/event/resumed,test,"{'appInstanceEvent': {'resumed': {'app': {'id': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'name': 'h2o-escorer', 'title': 'H2O eScorer', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.6.1', 'createdAt': '2023-08-27T06:53:39.266797Z', 'ownerName': 'test', 'updatedAt': '2023-08-27T06:53:39.266797Z', 'visibility': 'ALL_USERS', 'description': 'Seamlessly deploy your machine learning models into production and score them in realtime or as a batch.'}, 'instance': {'id': '693058a7-c35d-4432-bedc-3252fbbd3f44', 'appId': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'status': 'SUSPENDED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/693058a7-c35d-4432-bedc-3252fbbd3f44/', 'createdAt': '2023-08-27T06:53:48.132134153Z', 'ownerName': 'test', 'updatedAt': '2023-08-31T13:23:47.481800541Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-09-15 11:47:02.144885+00:00
ai/h2o/cloud/appstore/instance/event/terminated,test,"{'appInstanceEvent': {'terminated': {'app': {'id': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'name': 'h2o-escorer', 'title': 'H2O eScorer', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.6.1', 'createdAt': '2023-08-27T06:53:39.266797Z', 'ownerName': 'test', 'updatedAt': '2023-08-27T06:53:39.266797Z', 'visibility': 'ALL_USERS', 'description': 'Seamlessly deploy your machine learning models into production and score them in realtime or as a batch.'}, 'instance': {'id': '693058a7-c35d-4432-bedc-3252fbbd3f44', 'appId': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'status': 'DEPLOYED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/693058a7-c35d-4432-bedc-3252fbbd3f44/', 'createdAt': '2023-08-27T06:53:48.132134153Z', 'ownerName': 'test', 'updatedAt': '2023-09-15T11:46:13.615083538Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-09-15 11:51:00.305205+00:00
ai/h2o/cloud/appstore/instance/event/started,test,"{'appInstanceEvent': {'started': {'app': {'id': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'name': 'h2o-escorer', 'title': 'H2O eScorer', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.6.1', 'createdAt': '2023-08-27T06:53:39.266797Z', 'ownerName': 'test', 'updatedAt': '2023-08-27T06:53:39.266797Z', 'visibility': 'ALL_USERS', 'description': 'Seamlessly deploy your machine learning models into production and score them in realtime or as a batch.'}, 'instance': {'id': 'feebf1c4-9920-4b43-a05a-9773f46226e7', 'appId': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'status': 'DEPLOYED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/feebf1c4-9920-4b43-a05a-9773f46226e7/', 'createdAt': '2023-09-15T11:51:09.282642032Z', 'ownerName': 'test', 'updatedAt': '2023-09-15T11:51:09.282642032Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-09-15 11:51:51.635810+00:00
ai/h2o/cloud/appstore/instance/event/terminated,test,"{'appInstanceEvent': {'terminated': {'app': {'id': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'name': 'h2o-escorer', 'title': 'H2O eScorer', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.6.1', 'createdAt': '2023-08-27T06:53:39.266797Z', 'ownerName': 'test', 'updatedAt': '2023-08-27T06:53:39.266797Z', 'visibility': 'ALL_USERS', 'description': 'Seamlessly deploy your machine learning models into production and score them in realtime or as a batch.'}, 'instance': {'id': 'feebf1c4-9920-4b43-a05a-9773f46226e7', 'appId': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'status': 'DEPLOYED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/feebf1c4-9920-4b43-a05a-9773f46226e7/', 'createdAt': '2023-09-15T11:51:09.282642032Z', 'ownerName': 'test', 'updatedAt': '2023-09-15T11:51:09.282642032Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-09-18 11:08:36.172414+00:00
ai/h2o/cloud/appstore/instance/event/terminated,test,"{'appInstanceEvent': {'terminated': {'app': {'id': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'name': 'ai.h2o.wave.label_genie', 'title': 'H2O Label Genie', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.2.0', 'createdAt': '2023-09-15T11:46:56.298344Z', 'ownerName': 'test', 'updatedAt': '2023-09-15T11:46:56.298344Z', 'visibility': 'ALL_USERS', 'description': 'Supercharge your labeling workflow'}, 'instance': {'id': 'c7735abf-22c5-499f-9e16-3cf4f7aad27f', 'appId': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'status': 'FAILED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/c7735abf-22c5-499f-9e16-3cf4f7aad27f/', 'createdAt': '2023-09-15T11:47:29.969227539Z', 'ownerName': 'test', 'updatedAt': '2023-09-15T11:47:29.969227539Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-09-18 11:08:38.119267+00:00
ai/h2o/cloud/appstore/instance/event/started,test,"{'appInstanceEvent': {'started': {'app': {'id': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'name': 'ai.h2o.wave.label_genie', 'title': 'H2O Label Genie', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.2.0', 'createdAt': '2023-09-15T11:46:56.298344Z', 'ownerName': 'test', 'updatedAt': '2023-09-15T11:46:56.298344Z', 'visibility': 'ALL_USERS', 'description': 'Supercharge your labeling workflow'}, 'instance': {'id': '1e8da924-ac73-4b0b-a78b-cc4e1644f3f6', 'appId': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'status': 'DEPLOYED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/1e8da924-ac73-4b0b-a78b-cc4e1644f3f6/', 'createdAt': '2023-09-18T11:11:04.102641776Z', 'ownerName': 'test', 'updatedAt': '2023-09-18T11:11:04.102641776Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-09-18 11:12:00.643971+00:00
ai/h2o/cloud/appstore/instance/event/terminated,test,"{'appInstanceEvent': {'terminated': {'app': {'id': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'name': 'ai.h2o.wave.label_genie', 'title': 'H2O Label Genie', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.2.0', 'createdAt': '2023-09-15T11:46:56.298344Z', 'ownerName': 'test', 'updatedAt': '2023-09-15T11:46:56.298344Z', 'visibility': 'ALL_USERS', 'description': 'Supercharge your labeling workflow'}, 'instance': {'id': '1e8da924-ac73-4b0b-a78b-cc4e1644f3f6', 'appId': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'status': 'DEPLOYED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/1e8da924-ac73-4b0b-a78b-cc4e1644f3f6/', 'createdAt': '2023-09-18T11:11:04.102641776Z', 'ownerName': 'test', 'updatedAt': '2023-09-18T11:11:04.102641776Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-09-18 11:20:46.129670+00:00
ai/h2o/cloud/appstore/instance/event/terminated,test,"{'appInstanceEvent': {'terminated': {'app': {'id': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'name': 'ai.h2o.wave.label_genie', 'title': 'H2O Label Genie', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.2.0', 'createdAt': '2023-09-15T11:46:56.298344Z', 'ownerName': 'test', 'updatedAt': '2023-09-15T11:46:56.298344Z', 'visibility': 'ALL_USERS', 'description': 'Supercharge your labeling workflow'}, 'instance': {'id': 'e1de79e0-4a1f-449d-b69a-ff454a08d3a8', 'appId': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'status': 'PENDING', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/e1de79e0-4a1f-449d-b69a-ff454a08d3a8/', 'createdAt': '2023-09-18T11:08:45.529596370Z', 'ownerName': 'test', 'updatedAt': '2023-09-18T11:08:45.529596370Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-09-18 11:20:48.165253+00:00
ai/h2o/cloud/appstore/instance/event/started,test,"{'appInstanceEvent': {'started': {'app': {'id': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'name': 'ai.h2o.wave.label_genie', 'title': 'H2O Label Genie', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.2.0', 'createdAt': '2023-09-15T11:46:56.298344Z', 'ownerName': 'test', 'updatedAt': '2023-09-15T11:46:56.298344Z', 'visibility': 'ALL_USERS', 'description': 'Supercharge your labeling workflow'}, 'instance': {'id': '78c21d61-7746-464c-b791-fb22bf86876e', 'appId': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'status': 'DEPLOYED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/78c21d61-7746-464c-b791-fb22bf86876e/', 'createdAt': '2023-09-18T11:20:59.481095735Z', 'ownerName': 'test', 'updatedAt': '2023-09-18T11:20:59.481095735Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-09-18 11:21:12.370354+00:00
ai/h2o/cloud/appstore/instance/event/terminated,test,"{'appInstanceEvent': {'terminated': {'app': {'id': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'name': 'ai.h2o.wave.label_genie', 'title': 'H2O Label Genie', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.2.0', 'createdAt': '2023-09-15T11:46:56.298344Z', 'ownerName': 'test', 'updatedAt': '2023-09-15T11:46:56.298344Z', 'visibility': 'ALL_USERS', 'description': 'Supercharge your labeling workflow'}, 'instance': {'id': '78c21d61-7746-464c-b791-fb22bf86876e', 'appId': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'status': 'SUSPENDED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/78c21d61-7746-464c-b791-fb22bf86876e/', 'createdAt': '2023-09-18T11:20:59.481095735Z', 'ownerName': 'test', 'updatedAt': '2023-09-22T06:44:28.722634543Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-09-22 06:58:50.100354+00:00
ai/h2o/cloud/appstore/instance/event/started,test,"{'appInstanceEvent': {'started': {'app': {'id': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'name': 'ai.h2o.wave.label_genie', 'title': 'H2O Label Genie', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.2.0', 'createdAt': '2023-09-15T11:46:56.298344Z', 'ownerName': 'test', 'updatedAt': '2023-09-15T11:46:56.298344Z', 'visibility': 'ALL_USERS', 'description': 'Supercharge your labeling workflow'}, 'instance': {'id': 'e2f5686a-36d0-4a49-8350-4fde919ca80d', 'appId': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'status': 'DEPLOYED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/e2f5686a-36d0-4a49-8350-4fde919ca80d/', 'createdAt': '2023-09-22T06:58:53.471958713Z', 'ownerName': 'test', 'updatedAt': '2023-09-22T06:58:53.471958713Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-09-22 06:59:46.076336+00:00
ai/h2o/cloud/appstore/instance/event/terminated,test,"{'appInstanceEvent': {'terminated': {'app': {'id': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'name': 'ai.h2o.wave.label_genie', 'title': 'H2O Label Genie', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.2.0', 'createdAt': '2023-09-15T11:46:56.298344Z', 'ownerName': 'test', 'updatedAt': '2023-09-15T11:46:56.298344Z', 'visibility': 'ALL_USERS', 'description': 'Supercharge your labeling workflow'}, 'instance': {'id': 'e2f5686a-36d0-4a49-8350-4fde919ca80d', 'appId': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'status': 'DEPLOYED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/e2f5686a-36d0-4a49-8350-4fde919ca80d/', 'createdAt': '2023-09-22T06:58:53.471958713Z', 'ownerName': 'test', 'updatedAt': '2023-09-22T06:58:53.471958713Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-09-22 07:06:55.215139+00:00
ai/h2o/cloud/appstore/instance/event/started,test,"{'appInstanceEvent': {'started': {'app': {'id': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'name': 'h2o-escorer', 'title': 'H2O eScorer', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.6.1', 'createdAt': '2023-08-27T06:53:39.266797Z', 'ownerName': 'test', 'updatedAt': '2023-08-27T06:53:39.266797Z', 'visibility': 'ALL_USERS', 'description': 'Seamlessly deploy your machine learning models into production and score them in realtime or as a batch.'}, 'instance': {'id': '4f1ac645-3ffb-4dd2-9233-249ec4df818e', 'appId': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'status': 'DEPLOYED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/4f1ac645-3ffb-4dd2-9233-249ec4df818e/', 'createdAt': '2023-09-22T07:08:00.043102594Z', 'ownerName': 'test', 'updatedAt': '2023-09-22T07:08:00.043102594Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-09-22 07:08:48.572585+00:00
ai/h2o/cloud/appstore/instance/event/started,test,"{'appInstanceEvent': {'started': {'app': {'id': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'name': 'ai.h2o.wave.label_genie', 'title': 'H2O Label Genie', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.2.0', 'createdAt': '2023-09-15T11:46:56.298344Z', 'ownerName': 'test', 'updatedAt': '2023-09-15T11:46:56.298344Z', 'visibility': 'ALL_USERS', 'description': 'Supercharge your labeling workflow'}, 'instance': {'id': 'e7edd0a4-2048-4f95-8a5e-979e7c532992', 'appId': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'status': 'DEPLOYED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/e7edd0a4-2048-4f95-8a5e-979e7c532992/', 'createdAt': '2023-10-20T09:37:37.652039429Z', 'ownerName': 'test', 'updatedAt': '2023-10-20T09:37:37.652039429Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-10-20 09:38:57.570446+00:00
ai/h2o/cloud/appstore/instance/event/resumed,test,"{'appInstanceEvent': {'resumed': {'app': {'id': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'name': 'h2o-escorer', 'title': 'H2O eScorer', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.6.1', 'createdAt': '2023-08-27T06:53:39.266797Z', 'ownerName': 'test', 'updatedAt': '2023-08-27T06:53:39.266797Z', 'visibility': 'ALL_USERS', 'description': 'Seamlessly deploy your machine learning models into production and score them in realtime or as a batch.'}, 'instance': {'id': '4f1ac645-3ffb-4dd2-9233-249ec4df818e', 'appId': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'status': 'SUSPENDED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/4f1ac645-3ffb-4dd2-9233-249ec4df818e/', 'createdAt': '2023-09-22T07:08:00.043102594Z', 'ownerName': 'test', 'updatedAt': '2023-09-22T15:10:37.866342425Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-10-20 09:38:57.596421+00:00
ai/h2o/cloud/appstore/instance/event/started,test,"{'appInstanceEvent': {'started': {'app': {'id': '8457a133-601b-48ef-b5da-c7f9e5b12877', 'name': 'h2o-escorer', 'title': 'H2O eScorer', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.7.0', 'createdAt': '2023-10-20T09:46:05.529347Z', 'ownerName': 'test', 'updatedAt': '2023-10-20T09:46:05.529347Z', 'visibility': 'ALL_USERS', 'description': 'Seamlessly deploy your machine learning models into production and score them in realtime or as a batch.'}, 'instance': {'id': '101e34ae-4d75-43b8-a002-9a4e51985d80', 'appId': '8457a133-601b-48ef-b5da-c7f9e5b12877', 'status': 'DEPLOYED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/101e34ae-4d75-43b8-a002-9a4e51985d80/', 'createdAt': '2023-10-20T09:46:10.587112669Z', 'ownerName': 'test', 'updatedAt': '2023-10-20T09:46:10.587112669Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-10-20 09:46:31.245334+00:00
ai/h2o/cloud/appstore/instance/event/terminated,test,"{'appInstanceEvent': {'terminated': {'app': {'id': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'name': 'ai.h2o.wave.label_genie', 'title': 'H2O Label Genie', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.2.0', 'createdAt': '2023-09-15T11:46:56.298344Z', 'ownerName': 'test', 'updatedAt': '2023-09-15T11:46:56.298344Z', 'visibility': 'ALL_USERS', 'description': 'Supercharge your labeling workflow'}, 'instance': {'id': 'e7edd0a4-2048-4f95-8a5e-979e7c532992', 'appId': '5bafa939-c10e-451f-beff-7f68d5bfd0ee', 'status': 'DEPLOYED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/e7edd0a4-2048-4f95-8a5e-979e7c532992/', 'createdAt': '2023-10-20T09:37:37.652039429Z', 'ownerName': 'test', 'updatedAt': '2023-10-20T09:37:37.652039429Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-10-20 09:46:16.913806+00:00
ai/h2o/cloud/appstore/instance/event/terminated,test,"{'appInstanceEvent': {'terminated': {'app': {'id': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'name': 'h2o-escorer', 'title': 'H2O eScorer', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'version': '0.6.1', 'createdAt': '2023-08-27T06:53:39.266797Z', 'ownerName': 'test', 'updatedAt': '2023-08-27T06:53:39.266797Z', 'visibility': 'ALL_USERS', 'description': 'Seamlessly deploy your machine learning models into production and score them in realtime or as a batch.'}, 'instance': {'id': '4f1ac645-3ffb-4dd2-9233-249ec4df818e', 'appId': '4b6b4e5f-7988-482e-9af9-18807da3333c', 'status': 'DEPLOYED', 'ownerId': '04938e40-a99e-4bd7-aada-19caaf82bea6', 'location': 'https://r-20j.haic.h2o.dev/instance/4f1ac645-3ffb-4dd2-9233-249ec4df818e/', 'createdAt': '2023-09-22T07:08:00.043102594Z', 'ownerName': 'test', 'updatedAt': '2023-10-20T09:37:46.937292315Z', 'visibility': 'ALL_USERS', 'suspendable': True}}}}",2023-10-20 09:46:19.961692+00:00
